Gunnersaurus Rex,Arsenal 
Hercules and Bella the Lions,Aston Villa 
Gully the Seagull,Brighton & Hove Albion 
Bertie Bee,Burnley 
Stamford and Bridget,Chelsea 
Pete the Eagle,Crystal Palace 
Chang the Elephant,Everton 
Billy the Badger,Fulham 
Kop Cat,Leeds United 
Filbert Fox,Leicester City 
 Mighty Red,Liverpool 
Moonchester and Moonbeam,Manchester City 
Fred the Red,Manchester United 
Monty and Maggie Magpie,Newcastle United 
Captain Blade,Sheffield United 
Sammy Saint,Southampton 
Chirpy the Cockerel,Tottenham Hotspur 
Baggie Bird,West Bromwich Albion 
Hammerhead,West Ham United 
Wolfie and Wendy Wolf,Wolverhampton Wanderers 
Cherry Bear,Bournemouth
Buzz Bee,Brentford
Robin Hood,Nottingham Forest
Happy Harry and Hatty,Luton
